id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
138,VL/F5/QR/202627/00126,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
139,VL/F5/QR/202627/00127,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
140,VL/F5/QR/202627/00128,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
141,VL/F5/QR/202627/00129,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
142,VL/F5/QR/202627/00130,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
143,VL/F5/QR/202627/00131,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
144,VL/F5/QR/202627/00132,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
145,VL/F5/QR/202627/00133,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
146,VL/F5/QR/202627/00134,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
147,VL/F5/QR/202627/00135,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
148,VL/F5/QR/202627/00136,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
149,VL/F5/QR/202627/00137,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
150,VL/F5/QR/202627/00138,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
151,VL/F5/QR/202627/00139,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
152,VL/F5/QR/202627/00140,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
153,VL/F5/QR/202627/00141,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
154,VL/F5/QR/202627/00142,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
155,VL/F5/QR/202627/00143,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
156,VL/F5/QR/202627/00144,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
157,VL/F5/QR/202627/00145,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
