id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
148,VL/F1/QR/202627/00038,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
149,VL/F1/QR/202627/00039,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
150,VL/F1/QR/202627/00040,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
151,VL/F1/QR/202627/00041,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
152,VL/F3/QR/202627/00046,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
153,VL/F3/QR/202627/00047,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
154,VL/F3/QR/202627/00048,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
155,VL/F1/QR/202627/00042,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
156,VL/F1/QR/202627/00043,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
157,VL/F1/QR/202627/00044,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
158,VL/F1/QR/202627/00045,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
159,VL/F1/QR/202627/00046,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
160,VL/F3/QR/202627/00049,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
161,VL/F3/QR/202627/00050,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
162,VL/F1/QR/202627/00047,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
163,VL/F3/QR/202627/00051,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
164,VL/F1/QR/202627/00048,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
165,VL/F1/QR/202627/00049,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
166,VL/F1/QR/202627/00050,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
167,VL/F3/QR/202627/00052,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
168,VL/F3/QR/202627/00053,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
169,VL/F1/QR/202627/00051,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
170,VL/F1/QR/202627/00052,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
171,VL/F1/QR/202627/00053,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
172,VL/F1/QR/202627/00054,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
173,VL/F1/QR/202627/00055,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
174,VL/F1/QR/202627/00056,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
175,VL/F3/QR/202627/00054,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
176,VL/F3/QR/202627/00055,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
177,VL/F1/QR/202627/00057,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
178,VL/F1/QR/202627/00058,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
179,VL/F3/QR/202627/00056,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
180,VL/F1/QR/202627/00059,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
181,VL/F1/QR/202627/00060,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
182,VL/F1/QR/202627/00061,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
183,VL/F3/QR/202627/00057,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
184,VL/F1/QR/202627/00062,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
185,VL/F3/QR/202627/00058,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
186,VL/F1/QR/202627/00063,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
187,VL/F1/QR/202627/00064,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
188,VL/F1/QR/202627/00065,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
189,VL/F3/QR/202627/00059,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
190,VL/F3/QR/202627/00060,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
191,VL/F3/QR/202627/00061,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
192,VL/F1/QR/202627/00066,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
193,VL/F1/QR/202627/00067,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
194,VL/F1/QR/202627/00068,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
195,VL/F3/QR/202627/00062,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
196,VL/F1/QR/202627/00069,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
197,VL/F1/QR/202627/00070,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
198,VL/F1/QR/202627/00071,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
199,VL/F3/QR/202627/00063,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
200,VL/F3/QR/202627/00064,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
201,VL/F1/QR/202627/00072,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
202,VL/F1/QR/202627/00073,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
203,VL/F3/QR/202627/00065,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
204,VL/F1/QR/202627/00074,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
205,VL/F1/QR/202627/00075,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
206,VL/F1/QR/202627/00076,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
207,VL/F1/QR/202627/00077,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
208,VL/F1/QR/202627/00078,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
